Artist,Title,Album,Year,Validated
Vortex,KILLER WITCH,KILLER WITCH,2026,True
Fist,Ne Kadara 2016,Ne Kadara 2016,2026,True
Raven,Glow Up Tonight (New),Glow Up Tonight (New),2026,True
Vortex,SEQUENCIA DO PENTE,SEQUENCIA DO PENTE,2026,True
Vortex,Mob Outsidë,Mob Outsidë,2026,True
Parsifal,01010000,01010000,2026,True
Raven,Neon Current,Neon Current,2026,True
Legend,SEIS A.M.,SEIS A.M.,2026,True
Elvenking,The Past is Forever,The Past is Forever,2026,True
Power Paladin,Aegis Of Eternity,Aegis Of Eternity,2026,True
Prospekt,time,time,2026,True
Lost Dawning,Cry Of The Dragonborn,Cry Of The Dragonborn,2026,True
Evergrey,Architects Of The New Weave,Architects Of The New Weave,2026,True
Palantír,Паутинка в моих руках,New,2026,True
Secession Studios,The Jade Sky,At the heart of the jungle,2026,True
The Great Kat,Beethoven’s 666th,Death Metal Beethoven's 666th,2026,True
Firehouse,Midnight Gasoline,Midnight Gasoline,2026,True
The Great Kat,National Emblem March,National Emblem March,2026,True
Fractal Gates,Awakening,Awakening,2026,True
Rob Zombie,F.T.W. 84,The Great Satan,2026,True
Sonata Arctica,Freedom Concept,Freedom Concept,2026,True
Paul Gilbert,Keep Your Feet Firm and Even,WROC,2026,True
The Halo Effect,Lest We Fall,Lest We Fall,2026,True
Heavenly,Scene Stealing,Highway To Heavenly,2026,True
Gladenfold,Fire Wind,Soulbound,2026,True
Cloudscape,Wonder of Time,Wonder of Time,2026,True
Prospekt,throne,throne,2026,True
Inthraced,The Way of the Voice,The Way of the Voice,2026,True
Palantír,Baski Artiyor,Sonsuz Sokaklar,2026,True
Parsifal,HAUNTED,HAUNTED,2026,True
Secession Studios,Reign Eternal,Reign Eternal,2026,True
Primal Fear,One,One,2026,True
At the Gates,The Fever Mask,The Fever Mask,2026,True
Andromeda,MIKASA,MIKASA,2026,True
Andromeda,Струны,Рефлексия,2026,True
Arch Enemy,To The Last Breath,To The Last Breath,2026,True
Alcatrazz,Siyah Kapşon,Siyah Kapşon,2026,True
Andromeda,Intro Firmes Hasta el Final,Firmes Hasta el Final,2026,True
Plini,Helmi,Helmi,2026,True
Legend,VILLAN,VILLAN,2026,True
Legend,FLEX,FLEX,2026,True
Twilight Force,Magic of a New Dawn,Magic of a New Dawn,2026,True
Ark,Tried,Tried,2026,True
Black Rose,Broken Smiles,Broken Smiles,2026,True
Parsifal,TREXW,TREXW,2026,True
Tytan,Speshari,Speshari,2026,True
Tarja,Ashes on the Road,Ashes on the Road,2026,True
Ark,Sevda Sözü (Canlı),Sevda Sözü (Canlı),2026,True
Iron Savior,Take On Me,Take On Me,2026,True
Jo Blankenburg,Aleomera,Aleomera,2026,True
Legend,Call Me (feat. OHTHATSMELANIA),Call Me (feat. OHTHATSMELANIA),2026,True
Legend,Money Chaser,Money Chaser,2026,True
Fading Aeon,The Tree Of Knowledge,The Tree Of Knowledge,2026,True
Wolfchant,Arcades of Time,Echoes of a Time Once Past,2026,True
Palantír,Alkış Yok,Ruhun Sesi,2026,True
Heavenly,Roba Escenas,Roba Escenas,2026,True
Ark,Voice,Voice,2026,True
Imperia,Out Of Luck,Out Of Luck,2026,True
Satan,Hoover Criminal,Hoover Criminal,2026,True
Masterplan,Chase The Light,Chase The Light,2026,True
Black Rose,Chasing Stars,Chasing Stars,2026,True
Universe,Metamorphosis,Metamorphosis,2026,True
Narnia,Melodrama,Melodrama,2026,True
Battleaxe,Let it be,Let it be,2026,True
Labyrinth,If It's Real,If It's Real,2026,True
Power Paladin,Glade Lords Of Athel Loren,Glade Lords Of Athel Loren,2026,True
Lurte,A fragua d'o Turbón,A fragua d'o Turbón,2026,True
Lars Eric Mattsson,Everything,Everything,2026,True
Dropkick Murphys,Citizen I.C.E.,Citizen I.C.E.,2026,True
Paul Gilbert,Conscience is the Most Certain Judge,Conscience is the Most Certain Judge,2026,True
Satan,NIGGA IM SATAN,NIGGA IM SATAN,2026,True
Seventh Wonder,Eternal Flame,Eternal Flame,2026,True
Ark,Bu Yollar (Canlı),Bu Yollar (Canlı),2026,True
Universe,EL FUNAO,EL FUNAO,2026,True
Ivanhoe,HOLDING ON,HOLDING ON,2026,True
ANGUS McSIX,Dig Down,Dig Down,2026,True
The Black Crowes,It's Like That,It's Like That,2026,True
Billy Idol,77,77,2026,True
ZZ Top,It's Only Love,Tejas,2026,True
Apocalyptica,The Four Horsemen,The Four Horsemen,2026,True
Motörhead,Motörhead (The Manticore Tapes) (The Manticore Tapes),Motörhead (The Manticore Tapes),2026,True
Motörhead,Iron Fist (Jacksons Studio demos / October 1981),Remorse? No!,2026,True
Girlschool,Going Under,Play Dirty (Bonus Track Edition),2026,True
Apocalyptica,The Unforgiven II,The Unforgiven II,2026,True
Legend,Break The Cycle,Break The Cycle,2026,True
Mötley Crüe,Like a Virgin (Cover),Like a Virgin (Cover),2026,True
Motörhead,Neat Neat Neat,Neat Neat Neat,2026,True
Mötley Crüe,Kiss The Sky (Unreleased Track),Kiss The Sky (Unreleased Track),2026,True
Motörhead,"Stay Clean (Sound check at Newcastle City Hall, 30/3/1981)","Stay Clean (Sound check at Newcastle City Hall, 30/3/1981)",2026,True
Motörhead,Leavin' Here (The Manticore Tapes) (The Manticore Tapes),Leavin' Here (The Manticore Tapes),2026,True
Billy Idol,Still Dancing,Still Dancing,2026,True
ZZ Top,"Tube Snake Boogie (From ""RAW: That Little Ol' Band From Texas"" Original Soundtrack)","Tube Snake Boogie (From ""RAW: That Little Ol' Band From Texas"" Original Soundtrack)",2026,True
Jethro Tull,Songs and Horses (Songs from the Wood / Heavy Horses),Songs and Horses (Songs from the Wood / Heavy Horses),2026,True
Jethro Tull,Pass the Bottle,Pass the Bottle (A Christmas Song),2026,True
Jethro Tull,"Ring Out These Bells (Ring Out, Solstice Bells)","Ring Out These Bells (Ring Out, Solstice Bells)",2026,True
Cheap Trick,Twelve Gates,Twelve Gates,2026,True
Cheap Trick,The Riff That Won't Quit,The Riff That Won't Quit,2026,True
Karnivool,Animation,Animation,2026,True
Megadeth,Tipping Point,Megadeth,2026,True
The Hu,The Real You,The Real You,2026,True
Saltatio Mortis,Ein neuer Anfang,Heimkehr,2026,True
Lyriel,"The Skye Boat Song (From ""Outlander"")","The Skye Boat Song (From ""Outlander"")",2026,True
Black Rose,I Don't Believe It,I Don't Believe It,2026,True
Gladenfold,Wardens Of Time,Wardens Of Time,2026,True
Tytan,2Tone,2Tone,2026,True
Def Leppard,Rejoice,Rejoice,2026,True
Omnium Gatherum,Moongold,Moongold,2026,True
Mind's Eye,Don't Change,Don't Change,2026,True
Inthraced,The Black Star,The Black Star,2026,True
Universe,chasing cars,chasing cars,2026,True
Megadeth,Puppet Parade,Puppet Parade,2026,True
Ark,Öpücük (Canlı),Öpücük (Canlı),2026,True
Sirenia,Callous Eyes,Callous Eyes,2026,True
Soen,Primal,Reliance,2026,True
Saltatio Mortis,Stormbringer,Stormbringer,2026,True
Really Slow Motion,Quaternion,Cathedral of Ash,2026,True
Audiomachine,Second Son,Equilibrium,2026,True
Rhapsody,Keep It Going,"Lounge House, Vol. 1",2026,True
Edenbridge,The Ghostship Diaries,Set The Dark On Fire,2026,True
Trespass,Obsession,Obsession,2026,True
Wolfchant,Lifeblood,Lifeblood,2026,True
Holy Dragons,The Last Clockmaster,"Guardians of Time, Part I",2026,True
White Spirit,In Flames,Genesis,2026,True
Victorius,Kingdom of the Strong,Kingdom of the Strong,2026,True
Trespass,Kwastajlo,Kwastajlo,2026,True
Zgripsorum,The Crown Of Malice,Crown Of Malice,2026,True
Black Label Society,Name In Blood,Name In Blood,2026,True
Ark,Backseat Lovers,Backseat Lovers,2026,True
Soen,Indifferent,Indifferent,2026,True
Labyrinth,il mio monologo esteriore,il mio monologo esteriore,2026,True
Within Temptation,Somebody Like You,Somebody Like You,2026,True
The Black Crowes,Profane Prophecy,Profane Prophecy and Pharmacy Chronicles,2026,True
Versengold,Der Tag mag kommen,Eingenordet,2026,True
Beyond the Black,Rising High,Break The Silence,2026,True
Saltatio Mortis,Ich schrei deinen Namen in die Nacht,Ich schrei deinen Namen in die Nacht,2026,True
Iron Savior,Relax,Relax,2026,True
Eons Enthroned,To Sheathe the Blade ~A Second Turning~ (feat. Anti),To Sheathe the Blade ~A Second Turning~ (feat. Anti),2026,True
Zgripsorum,Bofors 40mm.,Bofors 40mm.,2026,True
Universe,Cybertron,Cybertron,2026,True
Freedom Call,Heavy Metal Happycore (feat. Petri Lindroos of Ensiferum),Heavy Metal Happycore (feat. Petri Lindroos of Ensiferum),2026,True
Paul Gilbert,Show Not Yourself Glad (At the Misfortune of Another),Show Not Yourself Glad (At the Misfortune of Another),2026,True
Heavenly,Excuse Me,Excuse Me,2026,True
Ark,Gelemez Misin (Canlı),Gelemez Misin (Canlı),2026,True
Satan,麻烦Freestyle,Freestyle Pt.1 垃圾堆,2026,True
Vanishing Point,2PM,Rainy Latte 1,2026,True
Ark,ИЛЬЯС ЯКУБОВ,ИЛЬЯС ЯКУБОВ,2025,True
Eons Enthroned,To Sheathe the Blade ~A Second Turning~,To Sheathe the Blade ~A Second Turning~,2026,True
Lyriel,"The Skye Boat Song (From ""Outlander"") (Case Conflict)",,Unknown,True
The Great Kat,Beethoven's 666th,Beethoven's 666th,2026,True
Universe,같은 하늘,같은 하늘,2025,True
